,Landing,Date,Boat,Trip Type,Anglers,Fish Count
0,daveys-locker,2019-01-11,Western Pride,1/2 Day PM,35,"38 Sand Bass, 16 Sculpin, 10 Blacksmith"
1,daveys-locker,2019-01-12,Western Pride,1/2 Day Twilight,66,"138 Sculpin, 28 Sand Bass"
2,daveys-locker,2019-01-19,Western Pride,1/2 Day AM,76,"150 Sculpin Released, 102 Sculpin, 40 Sanddab"
3,daveys-locker,2019-01-19,Western Pride,1/2 Day Twilight,67,"156 Sculpin, 29 Sand Bass, 5 Black Croaker, 3 Blue Perch"
4,daveys-locker,2019-01-20,Western Pride,1/2 Day AM,62,161 Sculpin
5,daveys-locker,2019-01-20,Western Pride,1/2 Day Twilight,79,"131 Sculpin, 18 Sand Bass, 2 Blue Perch, 2 Blacksmith"
6,daveys-locker,2019-01-21,Western Pride,1/2 Day Twilight,43,"51 Sculpin, 10 Sand Bass, 7 Blue Perch, 2 Black Croaker, 1 Sargo"
7,daveys-locker,2019-01-25,Western Pride,1/2 Day PM,31,"75 Blacksmith, 38 Sand Bass, 16 Sculpin, 2 Blue Perch"
8,daveys-locker,2019-01-26,Western Pride,1/2 Day Twilight,82,"173 Sculpin, 28 Sand Bass, 5 Black Croaker, 5 Blue Perch"
9,daveys-locker,2019-01-27,Bongos,1/2 Day PM,5,"1 Halibut, 1 Thresher Shark"
10,daveys-locker,2019-01-27,Western Pride,1/2 Day Twilight,80,"75 Sculpin, 5 Sand Bass"
11,daveys-locker,2019-01-28,Western Pride,1/2 Day PM,21,"30 Blacksmith, 5 Sand Bass"
12,daveys-locker,2019-01-30,Western Pride,1/2 Day PM,20,"35 Blue Perch, 17 Sand Bass"
13,daveys-locker,2019-02-01,Western Pride,1/2 Day PM,20,"36 Sand Bass, 18 Blacksmith, 7 Sculpin"
14,daveys-locker,2019-02-07,Western Pride,1/2 Day PM,24,"25 Blacksmith, 19 Sand Bass, 5 Sculpin"
15,daveys-locker,2019-02-08,Western Pride,1/2 Day AM,19,"85 Sand Bass, 70 Blacksmith, 10 Sculpin, 1 Sargo"
16,daveys-locker,2019-02-10,Bongos,1/2 Day Twilight,6,2 Pacific Halibut Released
17,daveys-locker,2019-02-10,Western Pride,1/2 Day Twilight,31,"50 Sculpin, 18 Sand Bass"
18,daveys-locker,2019-02-11,Western Pride,1/2 Day PM,39,"115 Blacksmith, 42 Sand Bass, 11 Sculpin"
19,daveys-locker,2019-02-18,Freelance,3/4 Day,36,"130 Sculpin, 35 Blacksmith, 1 Sand Bass"
20,daveys-locker,2019-02-23,Bongos,1/2 Day AM,5,1 Halibut
21,daveys-locker,2019-02-23,Freelance,1/2 Day Twilight,38,"35 Sculpin, 20 Sand Bass"
22,daveys-locker,2019-02-23,Freelance,3/4 Day,70,"235 Sculpin, 135 Sanddab, 95 Blacksmith, 1 Sand Bass"
23,daveys-locker,2019-02-24,Freelance,1/2 Day Twilight,39,"40 Sculpin, 20 Sand Bass"
24,daveys-locker,2019-02-24,Freelance,3/4 Day,44,"220 Sculpin, 60 Sanddab, 35 Blacksmith"
25,daveys-locker,2019-03-01,Freelance,3/4 Day,55,"120 Whitefish, 115 Rockfish, 70 Vermilion Rockfish"
26,daveys-locker,2019-03-01,Western Pride,1/2 Day PM,27,"215 Vermilion Rockfish, 15 Rockfish, 3 Bocaccio, 2 Sculpin"
27,daveys-locker,2019-03-02,Freelance,1/2 Day Twilight,52,"150 Sculpin, 25 Sand Bass"
28,daveys-locker,2019-03-02,Freelance,3/4 Day,33,"65 Rockfish, 44 Whitefish, 43 Sculpin, 35 Vermilion Rockfish, 11 Sanddab"
29,daveys-locker,2019-03-03,Freelance,3/4 Day,46,"215 Sculpin, 100 Rockfish, 60 Whitefish"
